iter	Passed	Remaining
0	150	14940
1	154	7583
2	155	5035
3	158	3798
4	161	3066
5	163	2561
6	165	2200
7	167	1923
8	170	1725
9	173	1562
10	174	1415
11	179	1314
12	180	1205
13	182	1118
14	182	1036
15	184	971
16	186	912
17	189	865
18	190	813
19	195	780
20	197	742
21	199	708
22	203	681
23	206	655
24	211	633
25	214	609
26	215	582
27	216	557
28	218	535
29	221	516
30	223	497
31	227	483
32	230	467
33	233	453
34	235	436
35	238	423
36	242	412
37	244	398
38	247	386
39	250	375
40	253	364
41	257	355
42	259	344
43	262	334
44	265	324
45	269	316
46	274	309
47	277	300
48	280	292
49	284	284
50	288	276
51	292	269
52	294	261
53	297	253
54	300	245
55	303	238
56	305	230
57	308	223
58	311	216
59	315	210
60	320	204
61	323	198
62	325	191
63	328	184
64	329	177
65	331	170
66	335	165
67	337	158
68	341	153
69	344	147
70	347	141
71	349	135
72	352	130
73	356	125
74	359	119
75	363	114
76	368	110
77	373	105
78	376	100
79	379	94
80	385	90
81	390	85
82	394	80
83	400	76
84	402	71
85	405	65
86	406	60
87	410	55
88	415	51
89	418	46
90	428	42
91	435	37
92	438	33
93	440	28
94	444	23
95	448	18
96	451	13
97	454	9
98	458	4
99	462	0
